name,energy,protein,lipid,carbohydrate,calcium,iron,vitaminE,vitaminB1,vitaminB2,vitaminC,cholesterol,solt
せり,0.18,0.021,0.001,0.034,0.38,0.013,0.007,0.0002,0.0006,0.1,0,0
セロリ,0.15,0.01,0.001,0.032,0.39,0.002,0.002,0.0003,0.0003,0.07,0,0.001
ぜんまい,0.21,0.011,0.004,0.041,0.19,0.003,0.005,0.0001,0.0005,0.02,0,0
そらまめ,1.12,0.105,0.002,0.169,0.22,0.021,0.002,0.0022,0.0018,0.18,0,0
タアサイ,0.13,0.011,0.002,0.023,1.1,0.006,0.017,0.0002,0.0003,0.14,0,0.001
かいわれだいこん,0.21,0.021,0.005,0.033,0.54,0.005,0.022,0.0008,0.0013,0.47,0,0
だいこん葉,0.25,0.022,0.001,0.053,2.6,0.031,0.038,0.0009,0.0016,0.53,0,0.001
だいこん,0.18,0.004,0.001,0.041,0.23,0.002,0,0.0002,0.0001,0.11,0,0
切干だいこん,2.79,0.057,0.005,0.675,5.4,0.097,0,0.0033,0.002,0.03,0,0.007
切干しだいこん,2.79,0.057,0.005,0.675,5.4,0.097,0,0.0033,0.002,0.03,0,0.007
切干大根,2.79,0.057,0.005,0.675,5.4,0.097,0,0.0033,0.002,0.03,0,0.007
だいこんぬか漬,0.3,0.013,0.001,0.067,0.44,0.003,0,0.0033,0.0004,0.15,0,0.038
たくあん,0.27,0.019,0.001,0.055,0.76,0.01,0,0.0021,0.0003,0.12,0,0.025
守口漬,1.87,0.053,0.002,0.443,0.26,0.007,0,0.0005,0.0017,0,0,0.036
べったら漬,0.57,0.009,0.001,0.14,0.2,0.004,0,0.0003,0.0002,0.45,0,0.03
福神漬,1.36,0.027,0.001,0.333,0.36,0.013,0.001,0.0002,0.001,0,0,0.051
つまみな,0.2,0.019,0.003,0.036,2.1,0.033,0.014,0.0006,0.0014,0.47,0,0.001
たかな,0.21,0.018,0.002,0.042,0.87,0.017,0.008,0.0006,0.001,0.69,0,0.001
たかな漬,0.33,0.028,0.002,0.07,1.5,0.021,0.014,0.0007,0.0014,0.3,0,0.058
たけのこ,0.23,0.027,0.002,0.04,0.19,0.003,0.011,0.0001,0.0004,0,0,0
しなちく,0.19,0.01,0.005,0.036,0.18,0.002,0,0,0,0,0,0.009
たまねぎ,0.37,0.01,0.001,0.088,0.21,0.002,0.001,0.0003,0.0001,0.08,0.01,0
たまねぎ水さらし,0.26,0.006,0.001,0.061,0.18,0.002,0,0.0003,0.0001,0.05,0,0
ゆでたまねぎ,0.31,0.008,0.001,0.073,0.18,0.002,0,0.0003,0.0001,0.05,0,0
赤たまねぎ,0.38,0.009,0.001,0.09,0.19,0.003,0.001,0.0003,0.0002,0.07,0,0
たらのめ,0.27,0.042,0.002,0.043,0.16,0.009,0.026,0.0015,0.002,0.07,0,0
チコリー,0.16,0.01,0,0.039,0.24,0.002,0.002,0.0006,0.0002,0.02,0,0
チンゲンサイ,0.12,0.009,0.001,0.024,1.2,0.007,0.009,0.0003,0.0005,0.15,0,0.001
つくし,0.33,0.034,0.001,0.067,0.58,0.011,0.036,0,0.001,0.15,0,0
つるな,0.15,0.018,0.001,0.028,0.48,0.03,0.013,0.0008,0.003,0.22,0,0
つるむらさき,0.15,0.009,0.002,0.032,1.8,0.004,0.013,0.0002,0.0005,0.18,0,0
とうがらし,3.45,0.147,0.12,0.584,0.74,0.068,0.307,0.005,0.014,0.01,0,0
とうがん,0.16,0.006,0.001,0.037,0.22,0.003,0.001,0.0001,0.0001,0.27,0,0
コーン,0.97,0.035,0.015,0.187,0.04,0.006,0.002,0.0012,0.0009,0.06,0,0
クリームコーン,0.84,0.017,0.005,0.186,0.02,0.004,0.001,0.0002,0.0005,0.03,0,0.007
ヤングコーン ,0.29,0.023,0.002,0.06,0.19,0.004,0.005,0.0009,0.0011,0.09,0,0
トマト,0.19,0.007,0.001,0.047,0.07,0.002,0.009,0.0005,0.0002,0.15,0,0
とまと,0.19,0.007,0.001,0.047,0.07,0.002,0.009,0.0005,0.0002,0.15,0,0
ミニトマト,0.29,0.011,0.001,0.072,0.12,0.004,0.009,0.0007,0.0005,0.32,0,0
トマト缶,0.2,0.009,0.002,0.044,0.09,0.004,0.013,0.0006,0.0003,0.1,0,0
トマトジュース,0.17,0.007,0.001,0.04,0.06,0.003,0.007,0.0004,0.0004,0.06,0,0.006
無塩トマトジュース,0.17,0.007,0.001,0.04,0.06,0.003,0.007,0.0004,0.0004,0.06,0,0
トマトミックスジュース,0.17,0.006,0,0.043,0.11,0.003,0.008,0.0003,0.0003,0.03,0,0.006
無塩トマトミックスジュース,0.17,0.006,0,0.043,0.11,0.003,0.008,0.0003,0.0003,0.03,0,0
とんぶり,0.9,0.061,0.035,0.129,0.15,0.028,0.047,0.0011,0.0017,0.01,0,0
なす,0.22,0.011,0.001,0.051,0.18,0.003,0.003,0.0005,0.0005,0.04,0.01,0
べいなす,0.22,0.011,0.001,0.053,0.1,0.004,0.003,0.0004,0.0004,0.06,0,0
なす漬,0.23,0.014,0.001,0.052,0.18,0.006,0.003,0.0003,0.0004,0.07,0,0.022
なすぬか漬,0.27,0.017,0.001,0.061,0.21,0.005,0.003,0.001,0.0004,0.08,0,0.025
なすこうじ漬,0.79,0.055,0.001,0.182,0.65,0.014,0.005,0.0003,0.0005,0,0,0.066
なすからし漬,1.18,0.026,0.002,0.307,0.71,0.015,0.002,0.0006,0.0004,0.87,0,0.048
しば漬,0.3,0.014,0.002,0.07,0.3,0.017,0.007,0,0.0002,0,0,0.041
なずな,0.36,0.043,0.001,0.07,2.9,0.024,0.025,0.0015,0.0027,1.1,0,0
なのはな,0.28,0.047,0.001,0.043,1.4,0.017,0.029,0.0007,0.0014,0.44,0,0
にがうり,0.17,0.01,0.001,0.039,0.14,0.004,0.009,0.0005,0.0007,0.76,0,0
にら,0.31,0.026,0.005,0.057,0.51,0.007,0.032,0.0004,0.0012,0.11,0,0
花にら,0.27,0.019,0.002,0.059,0.22,0.005,0.01,0.0007,0.0008,0.23,0,0
黄にら,0.18,0.021,0.001,0.033,0.15,0.007,0.003,0.0005,0.0008,0.15,0,0
にんじん葉,0.18,0.011,0.002,0.037,0.92,0.009,0.011,0.0006,0.0012,0.22,0,0.001
にんじん,0.37,0.006,0.001,0.09,0.27,0.002,0.005,0.0004,0.0004,0.04,0,0.001
ゆでにんじん,0.39,0.006,0.001,0.096,0.3,0.002,0.005,0.0003,0.0004,0.02,0,0.001
にんじんジュース,0.28,0.006,0.001,0.067,0.1,0.002,0.002,0.0003,0.0004,0.01,0,0
ミニキャロット,0.32,0.007,0.002,0.075,0.3,0.003,0.006,0.0004,0.0003,0.04,0,0
にんにく,1.34,0.06,0.013,0.263,0.14,0.008,0.005,0.0019,0.0007,0.1,0,0
茎にんにく,0.44,0.017,0.002,0.107,0.4,0.005,0.008,0.001,0.0007,0.39,0,0
ねぎ,0.28,0.005,0.001,0.072,0.31,0.002,0.001,0.0004,0.0004,0.11,0.02,0
葉ねぎ,0.31,0.015,0.003,0.07,0.54,0.007,0.009,0.0005,0.0009,0.31,0,0
こねぎ,0.27,0.02,0.003,0.054,1,0.01,0.013,0.0008,0.0014,0.44,0,0
のざわな漬,0.18,0.012,0.001,0.041,1.3,0.004,0.007,0.0005,0.0011,0.27,0,0.015
のざわな調味漬,0.23,0.017,0,0.054,0.94,0.007,0.013,0.0003,0.0011,0.26,0,0.024
のびる,0.65,0.032,0.002,0.155,1,0.026,0.013,0.0008,0.0022,0.6,0,0
はくさい,0.14,0.008,0.001,0.032,0.43,0.003,0.002,0.0003,0.0003,0.19,0,0
ゆではくさい,0.13,0.009,0.001,0.029,0.43,0.003,0.001,0.0001,0.0001,0.1,0,0
はくさい漬,0.17,0.013,0.001,0.035,0.42,0.003,0.002,0.0003,0.0003,0.24,0,0.023
キムチ ,0.46,0.028,0.003,0.079,0.48,0.006,0.005,0.0005,0.0014,0.24,0,0.022
パクチョイ,0.15,0.016,0.002,0.027,1,0.008,0.009,0.0007,0.0012,0.45,0,0
バジル,0.24,0.02,0.006,0.04,2.4,0.015,0.035,0.0008,0.0019,0.16,0,0
パセリ,0.44,0.037,0.007,0.082,2.9,0.075,0.034,0.0012,0.0024,1.2,0,0
はつかだいこん,0.15,0.008,0.001,0.031,0.21,0.003,0,0.0002,0.0002,0.12,0,0
はやとうり,0.2,0.006,0.001,0.049,0.12,0.003,0.002,0.0002,0.0003,0.11,0,0
はやとうり漬,0.17,0.006,0,0.044,0.08,0.002,0.001,0.0002,0.0004,0.09,0,0.036
ピーマン,0.22,0.009,0.002,0.051,0.11,0.004,0.008,0.0003,0.0003,0.76,0,0
赤ピーマン,0.3,0.01,0.002,0.072,0.07,0.004,0.043,0.0006,0.0014,1.7,0,0
黄ピーマン,0.27,0.008,0.002,0.066,0.08,0.003,0.024,0.0004,0.0003,1.5,0,0
トマピー,0.31,0.01,0.002,0.075,0.08,0.004,0.043,0.0005,0.0009,2,0,0
ふき,0.08,0.003,0,0.019,0.34,0.001,0.002,0,0.0001,0,0,0.001
ふきのと,0.43,0.025,0.001,0.1,0.61,0.013,0.033,0.001,0.0017,0.14,0,0
ブロッコリー,0.27,0.035,0.004,0.043,0.33,0.007,0.017,0.0006,0.0009,0.54,0,0
ほうれんそう,0.25,0.026,0.005,0.04,0.69,0.009,0.027,0.0005,0.0011,0.19,0,0
ホウレンソウ,0.25,0.026,0.005,0.04,0.69,0.009,0.027,0.0005,0.0011,0.19,0,0
ほうれん草,0.25,0.026,0.005,0.04,0.69,0.009,0.027,0.0005,0.0011,0.19,0,0
ほうれんそう夏,0.25,0.026,0.005,0.04,0.69,0.009,0.027,0.0005,0.0011,0.1,0,0
ほうれんそう冬,0.25,0.026,0.005,0.04,0.69,0.009,0.027,0.0005,0.0011,0.3,0,0
ラディシュ,0.79,0.031,0.003,0.177,1.1,0.01,0,0.001,0.001,0.73,0,0
まこも,0.21,0.013,0.002,0.044,0.02,0.002,0,0.0004,0.0003,0.06,0,0
みつば,0.17,0.011,0,0.04,0.56,0.006,0.013,0.0002,0.0008,0.04,0,0
みょうが,0.12,0.009,0.001,0.026,0.25,0.005,0.002,0.0005,0.0005,0.02,0,0
みょうがたけ,0.07,0.004,0.001,0.015,0.11,0.003,0.001,0.0002,0.0002,0.01,0,0
むかご,0.93,0.029,0.002,0.206,0.05,0.006,0.004,0.0011,0.0002,0.09,0,0
めキャベツ,0.49,0.053,0.001,0.098,0.36,0.01,0.005,0.0013,0.0016,1.1,0,0
めたで,0.43,0.03,0.005,0.088,0.49,0.023,0.049,0.0015,0.0021,0.67,0,0
アルファルファもやし,0.12,0.016,0.001,0.02,0.14,0.005,0.019,0.0007,0.0009,0.05,0,0
もやし,0.34,0.029,0.016,0.022,0.24,0.004,0.008,0.0004,0.0004,0.01,0,0
モロヘイヤ,0.25,0.03,0.004,0.04,1.7,0.006,0.034,0.0006,0.0013,0.11,0,0
やまごぼうみそ漬,0.72,0.041,0.001,0.156,0.23,0.013,0.006,0.0002,0.001,0,0,0.071
ゆりね,1.26,0.034,0.001,0.287,0.1,0.009,0.005,0.0007,0.0007,0.08,0,0
よもぎ,0.42,0.048,0.001,0.082,1.4,0.03,0.035,0.0008,0.0009,0.02,0,0
らっかせい,2.88,0.119,0.235,0.123,0.24,0.009,0.072,0.003,0.0013,0.19,0,0
らっきょう,1.15,0.007,0.002,0.29,0.15,0.011,0.002,0.0001,0.0001,0,0,0.022
エシャロット,0.76,0.023,0.002,0.178,0.2,0.008,0.004,0.0003,0.0005,0.21,0,0
レタス,0.12,0.006,0.001,0.028,0.19,0.003,0.003,0.0005,0.0003,0.05,0,0
サラダな,0.14,0.017,0.002,0.022,0.56,0.024,0.016,0.0006,0.0013,0.14,0,0
リーフレタス,0.16,0.014,0.001,0.033,0.58,0.01,0.014,0.001,0.001,0.21,0,0
サニーレタス,0.16,0.012,0.002,0.032,0.66,0.018,0.013,0.001,0.001,0.17,0,0
れんこん,0.66,0.013,0.001,0.161,0.2,0.004,0.006,0.0006,0,0.18,0,0
わけぎ,0.3,0.016,0,0.074,0.59,0.004,0.014,0.0006,0.001,0.37,0,0
わさび,0.88,0.056,0.002,0.184,1,0.008,0.014,0.0006,0.0015,0.75,0,0.001
わさび漬,1.45,0.071,0.005,0.28,0.4,0.009,0.001,0.0008,0.0017,0.01,0,0.025
わらび,0.15,0.015,0.001,0.03,0.31,0.006,0.013,0,0.0005,0,0,0
あけび,0.82,0.005,0.001,0.22,0.11,0.003,0.002,0.0007,0.0003,0.65,0,0
アセロラ,0.36,0.007,0.001,0.09,0.11,0.005,0.009,0.0003,0.0004,17,0,0
アセロラ飲料,0.42,0.001,0,0.105,0.01,0.001,0.001,0,0,1.2,0,0
アボカド,1.87,0.025,0.187,0.062,0.09,0.007,0.034,0.001,0.0021,0.15,0,0
あんず,0.36,0.01,0.003,0.085,0.09,0.003,0.017,0.0002,0.0002,0.03,0,0
アンズ,0.36,0.01,0.003,0.085,0.09,0.003,0.017,0.0002,0.0002,0.03,0,0
乾燥あんず,2.88,0.092,0.004,0.704,0.7,0.023,0.014,0,0.0003,0,0,0
アンズ缶,0.81,0.005,0.004,0.189,0.18,0.002,0.009,0.0001,0.0001,0,0,0
アンズジャム,2.62,0.003,0.001,0.649,0.08,0.002,0.004,0.0001,0,0,0,0
低糖アンズジャム,2.05,0.004,0.001,0.505,0.11,0.003,0.005,0.0001,0.0001,0,0,0
いちご,0.34,0.009,0.001,0.085,0.17,0.003,0.004,0.0003,0.0002,0.62,0,0
イチゴ,0.34,0.009,0.001,0.085,0.17,0.003,0.004,0.0003,0.0002,0.62,0,0
いちごジャム,2.56,0.004,0.001,0.633,0.09,0.002,0.001,0.0001,0.0001,0.09,0,0
イチゴジャム,2.56,0.004,0.001,0.633,0.09,0.002,0.001,0.0001,0.0001,0.09,0,0
低糖イチゴジャム,1.97,0.005,0.001,0.484,0.12,0.004,0.002,0.0001,0.0001,0.1,0,0
イチジク,0.54,0.006,0.001,0.143,0.26,0.003,0.004,0.0003,0.0003,0.02,0,0
いよかん,0.46,0.009,0.001,0.118,0.17,0.002,0.001,0.0006,0.0003,0.35,0,0
イヨカン,0.46,0.009,0.001,0.118,0.17,0.002,0.001,0.0006,0.0003,0.35,0,0
梅干し,0.33,0.009,0.002,0.105,0.65,0.01,0.005,0.0002,0.0001,0,0,0.221
梅干し調味漬,0.96,0.015,0.006,0.211,0.25,0.024,0.003,0.0001,0.0001,0,0,0.076
うめびしお,0.41,0.009,0.001,0.105,0.31,0.07,0.002,0.0003,0.0003,0,0,0.076
うめ飲料,0.49,0,0,0.123,0.01,0.002,0.001,0,0,0,0,0.001
みかん,0.45,0.005,0.001,0.119,0.17,0.001,0.004,0.0007,0.0004,0.35,0,0
ミカン,0.45,0.005,0.001,0.119,0.17,0.001,0.004,0.0007,0.0004,0.35,0,0
みかんストレートジュース,0.41,0.005,0.001,0.106,0.08,0.002,0.002,0.0006,0.0001,0.29,0,0
みかん濃縮還元ジュース,0.38,0.005,0.001,0.099,0.06,0.001,0.002,0.0006,0.0004,0.3,0,0
ミカンジュース,0.38,0.005,0.001,0.099,0.06,0.001,0.002,0.0006,0.0004,0.3,0,0
みかん果粒入りジュース,0.47,0.002,0,0.13,0.05,0.001,0.001,0.0002,0.0001,0.12,0,0
みかん50%果汁入り飲料,0.6,0.002,0,0.147,0.04,0.001,0.001,0.0003,0.0001,0.18,0,0
みかん20%果汁入り飲料,0.5,0.001,0,0.124,0.02,0.001,0.001,0.0001,0.0001,0.07,0,0
みかん缶,0.64,0.005,0.001,0.153,0.08,0.004,0.005,0.0005,0.0002,0.15,0,0
ミカン缶,0.64,0.005,0.001,0.153,0.08,0.004,0.005,0.0005,0.0002,0.15,0,0
ミカン缶汁,0.63,0.003,0.001,0.153,0.05,0.003,0,0.0004,0.0002,0.15,0,0
バレンシアオレンジ,0.39,0.01,0.001,0.098,0.21,0.003,0.003,0.001,0.0003,0.4,0,0
オレンジストレートジュース,0.42,0.008,0,0.11,0.09,0.001,0.002,0.0007,0.0001,0.22,0,0
オレンジジュース,0.42,0.007,0.001,0.107,0.09,0.001,0.003,0.0007,0.0002,0.42,0,0
オレンジ濃縮還元ジュース,0.42,0.007,0.001,0.107,0.09,0.001,0.003,0.0007,0.0002,0.42,0,0
オレンジ50%果汁入り飲料,0.47,0.004,0.002,0.108,0.05,0.001,0.001,0.0004,0.0001,0.16,0,0
オレンジ30%果汁入り飲料,0.41,0.002,0,0.1,0.03,0,0.001,0.0002,0.0001,0.1,0,0
マーマレード,2.55,0.002,0.001,0.632,0.16,0.001,0.003,0.0001,0,0.05,0,0
低糖マーマレード,1.93,0.003,0.001,0.477,0.19,0.002,0.004,0.0001,0,0.04,0,0
柿,0.6,0.004,0.002,0.159,0.09,0.002,0.001,0.0003,0.0002,0.7,0,0
カキ,0.6,0.004,0.002,0.159,0.09,0.002,0.001,0.0003,0.0002,0.7,0,0
干し柿,2.76,0.015,0.017,0.713,0.27,0.006,0.004,0.0002,0,0.02,0,0
かぼす,0.25,0.004,0.001,0.085,0.07,0.001,0.001,0.0002,0.0002,0.42,0,0
カボス,0.25,0.004,0.001,0.085,0.07,0.001,0.001,0.0002,0.0002,0.42,0,0
カリン,0.68,0.004,0.001,0.183,0.12,0.003,0.006,0.0001,0.0003,0.25,0,0
キウイフルーツ,0.53,0.01,0.001,0.135,0.33,0.003,0.013,0.0001,0.0002,0.69,0,0
キワノ,0.41,0.015,0.009,0.08,0.1,0.004,0.009,0.0003,0.0001,0.02,0,0
きんかん,0.71,0.005,0.007,0.175,0.8,0.003,0.026,0.001,0.0006,0.49,0,0
キンカン,0.71,0.005,0.007,0.175,0.8,0.003,0.026,0.001,0.0006,0.49,0,0
グァバ,0.38,0.006,0.001,0.099,0.08,0.001,0.003,0.0003,0.0004,2.2,0,0
グァバジュース,0.51,0.001,0.001,0.123,0.03,0.002,0.001,0,0.0001,0.19,0,0
グズベリー,0.52,0.01,0.001,0.132,0.14,0.013,0.01,0.0002,0.0002,0.22,0,0
グミ,0.68,0.013,0.002,0.172,0.1,0.002,0.023,0.0001,0.0004,0.05,0,0
グレープフルーツ,0.38,0.009,0.001,0.096,0.15,0,0.003,0.0007,0.0003,0.36,0,0
グレープフルーツルビー,0.38,0.009,0.001,0.096,0.15,0,0.003,0.0007,0.0003,0.36,0,0
グレープフルーツストレートジュース,0.4,0.006,0.001,0.103,0.09,0.001,0.002,0.0004,0.0001,0.38,0,0
グレープフルーツ濃縮還元ジュース,0.35,0.007,0.001,0.088,0.09,0.001,0.002,0.0006,0.0002,0.53,0,0
グレープフルーツジュース,0.35,0.007,0.001,0.088,0.09,0.001,0.002,0.0006,0.0002,0.53,0,0
グレープフルーツ50%果汁入り飲料,0.46,0.003,0,0.111,0.07,0.001,0.001,0.0002,0,0.19,0,0
グレープフルーツ20%果汁入り飲料,0.39,0.001,0,0.097,0.03,0.001,0.002,0,0,0.08,0,0
グレープフルーツ缶,0.7,0.005,0,0.171,0.13,0.001,0.001,0.0003,0,0.26,0,0
ココナッツミルク,0.2,0.002,0.001,0.05,0.11,0.001,0,0.0001,0.0001,0.02,0,0
ゴレンシ,0.3,0.007,0.001,0.075,0.05,0.002,0.003,0.0003,0.0002,0.12,0,0
さくらんぼ,0.6,0.01,0.002,0.152,0.13,0.003,0.005,0.0003,0.0003,0.1,0,0
サクランボ,0.6,0.01,0.002,0.152,0.13,0.003,0.005,0.0003,0.0003,0.1,0,0
アメリカンチェリー,0.66,0.012,0.001,0.171,0.15,0.003,0.005,0.0003,0.0003,0.09,0,0
サクランボ缶,0.74,0.006,0.001,0.176,0.1,0.004,0.005,0.0001,0.0001,0.07,0,0
ざくろ,0.56,0.002,0,0.155,0.08,0.001,0.001,0.0001,0.0001,0.1,0,0
ザクロ,0.56,0.002,0,0.155,0.08,0.001,0.001,0.0001,0.0001,0.1,0,0
さんぼうかん,0.44,0.007,0.003,0.109,0.23,0.002,0.002,0.0007,0.0003,0.39,0,0
サンポウカン,0.44,0.007,0.003,0.109,0.23,0.002,0.002,0.0007,0.0003,0.39,0,0
すいか,0.37,0.006,0.001,0.095,0.04,0.002,0.001,0.0003,0.0002,0.1,0,0
スイカ,0.37,0.006,0.001,0.095,0.04,0.002,0.001,0.0003,0.0002,0.1,0,0
すだち,0.2,0.005,0.001,0.066,0.16,0.002,0.003,0.0003,0.0002,0.4,0,0
スダチ,0.2,0.005,0.001,0.066,0.16,0.002,0.003,0.0003,0.0002,0.4,0,0
すもも,0.44,0.006,0.01,0.094,0.05,0.002,0.006,0.0002,0.0002,0.04,0,0
スモモ,0.44,0.006,0.01,0.094,0.05,0.002,0.006,0.0002,0.0002,0.04,0,0
プルーン,0.49,0.007,0.001,0.126,0.06,0.002,0.013,0.0003,0.0003,0.04,0,0
だいだい,0.24,0.003,0.002,0.08,0.1,0.001,0.001,0.0003,0.0002,0.35,0,0
ダイダイ,0.24,0.003,0.002,0.08,0.1,0.001,0.001,0.0003,0.0002,0.35,0,0
タンゴール,0.5,0.009,0.001,0.127,0.07,0,0.003,0.0009,0.0003,0.53,0,0
ドリアン,1.33,0.023,0.033,0.271,0.05,0.003,0.023,0.0033,0.002,0.31,0,0
なし,0.43,0.003,0.001,0.113,0.02,0,0.001,0.0002,0,0.03,0,0
ナシ,0.43,0.003,0.001,0.113,0.02,0,0.001,0.0002,0,0.03,0,0
なし缶,0.78,0.001,0.001,0.191,0.03,0.002,0.001,0,0,0,0,0
ナシ缶,0.78,0.001,0.001,0.191,0.03,0.002,0.001,0,0,0,0,0
洋なし,0.54,0.003,0.001,0.144,0.05,0.001,0.003,0.0002,0.0001,0.03,0,0
洋ナシ,0.54,0.003,0.001,0.144,0.05,0.001,0.003,0.0002,0.0001,0.03,0,0
洋なし缶,0.85,0.002,0.001,0.207,0.04,0.001,0.002,0.0001,0.0002,0,0,0
洋ナシ缶,0.85,0.002,0.001,0.207,0.04,0.001,0.002,0.0001,0.0002,0,0,0
なつみかん,0.4,0.009,0.001,0.1,0.16,0.002,0.003,0.0008,0.0003,0.38,0,0
ナツミカン,0.4,0.009,0.001,0.1,0.16,0.002,0.003,0.0008,0.0003,0.38,0,0
ナツミカン缶,0.81,0.005,0.001,0.194,0.11,0.001,0.002,0.0004,0,0.14,0,0
なつみかん缶,0.81,0.005,0.001,0.194,0.11,0.001,0.002,0.0004,0,0.14,0,0
パイン,0.51,0.006,0.001,0.134,0.1,0.002,0,0.0008,0.0002,0.27,0,0
パインストレートジュース,0.41,0.003,0.001,0.11,0.22,0.004,0,0.0004,0.0001,0.06,0,0
パイン濃縮還元ジュース,0.41,0.001,0.001,0.111,0.09,0.003,0,0.0005,0.0002,0.05,0,0
パインジュース,0.41,0.001,0.001,0.111,0.09,0.003,0,0.0005,0.0002,0.05,0,0
パイン50%果汁入り飲料,0.51,0.003,0.001,0.121,0.06,0.001,0,0.0003,0.0001,0.03,0,0
パイン10%果汁入り飲料,0.5,0,0,0.124,0.02,0.002,0,0,0,0,0,0
パイン缶詰,0.84,0.004,0.001,0.203,0.07,0.003,0,0.0007,0.0001,0.07,0,0
ハスカップ,0.53,0.007,0.006,0.128,0.38,0.006,0.011,0.0002,0.0003,0.44,0,0
はっさく,0.45,0.008,0.001,0.115,0.13,0.001,0.003,0.0006,0.0003,0.4,0,0
ハッサク,0.45,0.008,0.001,0.115,0.13,0.001,0.003,0.0006,0.0003,0.4,0,0
パッションフルーツ,0.64,0.008,0.004,0.162,0.04,0.006,0.002,0.0001,0.0009,0.16,0,0
バナナ,0.86,0.011,0.002,0.225,0.06,0.003,0.005,0.0005,0.0004,0.16,0,0
パパイヤ,0.38,0.005,0.002,0.095,0.2,0.002,0.003,0.0002,0.0004,0.5,0,0
ピタヤ,0.5,0.014,0.003,0.118,0.06,0.003,0.004,0.0008,0.0006,0.07,0,0
びわ,0.4,0.003,0.001,0.106,0.13,0.001,0.002,0.0002,0.0003,0.05,0,0
ビワ,0.4,0.003,0.001,0.106,0.13,0.001,0.002,0.0002,0.0003,0.05,0,0
びわ缶,0.81,0.003,0.001,0.198,0.22,0.001,0.002,0.0001,0.0001,0,0,0
ビワ缶,0.81,0.003,0.001,0.198,0.22,0.001,0.002,0.0001,0.0001,0,0,0
ぶどう,0.59,0.004,0.001,0.157,0.06,0.001,0.001,0.0004,0.0001,0.02,0,0
ブドウ,0.59,0.004,0.001,0.157,0.06,0.001,0.001,0.0004,0.0001,0.02,0,0
干しぶどう,3.01,0.027,0.002,0.807,0.65,0.023,0.006,0.0012,0.0003,0,0,0
