name,energy,protein,lipid,carbohydrate,calcium,iron,vitaminE,vitaminB1,vitaminB2,vitaminC,cholesterol,solt
レーズン,3.01,0.027,0.002,0.807,0.65,0.023,0.006,0.0012,0.0003,0,0,0
ぶどうストレートジュース,0.55,0.003,0.002,0.145,0.03,0.001,0,0.0002,0.0001,0,0,0
ぶどう濃縮還元ジュース,0.47,0.003,0.003,0.121,0.05,0.003,0,0.0002,0,0,0,0
ブドウジュース,0.47,0.003,0.003,0.121,0.05,0.003,0,0.0002,0,0,0,0
ぶどう70%果汁入り飲料,0.52,0.002,0,0.129,0.04,0.001,0,0,0,0,0,0
ぶどう10%果汁入り飲料,0.52,0,0,0.131,0.03,0.001,0,0,0,0,0,0
ぶどう缶,0.84,0.004,0.001,0.204,0.1,0.009,0.002,0.0002,0.0001,0,0,0
ブドウ缶,0.84,0.004,0.001,0.204,0.1,0.009,0.002,0.0002,0.0001,0,0,0
ぶどうジャム,1.93,0.005,0.001,0.475,0.16,0.033,0.002,0.0002,0.0001,0,0,0
ブドウジャム,1.93,0.005,0.001,0.475,0.16,0.033,0.002,0.0002,0.0001,0,0,0
ブルーベリー,0.49,0.005,0.001,0.129,0.08,0.002,0.017,0.0003,0.0003,0.09,0,0
ブルーベリージャム,1.81,0.007,0.003,0.438,0.08,0.003,0.02,0.0003,0.0002,0.03,0,0
ぶんたん,0.38,0.007,0.001,0.098,0.13,0.001,0.005,0.0003,0.0004,0.45,0,0
ブンタン,0.38,0.007,0.001,0.098,0.13,0.001,0.005,0.0003,0.0004,0.45,0,0
ぽんかん,0.4,0.009,0.001,0.099,0.16,0.001,0.002,0.0008,0.0004,0.4,0,0
ポンカン,0.4,0.009,0.001,0.099,0.16,0.001,0.002,0.0008,0.0004,0.4,0,0
マンゴー,0.64,0.006,0.001,0.169,0.15,0.002,0.018,0.0004,0.0006,0.2,0,0
マンゴスチン,0.67,0.006,0.002,0.175,0.06,0.001,0.007,0.0011,0.0003,0.03,0,0
メロン,0.42,0.01,0.001,0.104,0.06,0.002,0.002,0.0005,0.0002,0.25,0,0
もも,0.4,0.006,0.001,0.102,0.04,0.001,0.007,0.0001,0.0001,0.08,0,0
モモ,0.4,0.006,0.001,0.102,0.04,0.001,0.007,0.0001,0.0001,0.08,0,0
もも30%果汁入り飲料,0.48,0.002,0.001,0.116,0.02,0.002,0.004,0,0.0001,0.02,0,0
白桃缶詰,0.85,0.005,0.001,0.206,0.03,0.002,0.012,0.0001,0.0002,0.02,0,0
黄桃缶,0.85,0.005,0.001,0.206,0.03,0.002,0.012,0.0001,0.0002,0.02,0,0
モモ缶,0.85,0.005,0.001,0.206,0.03,0.002,0.012,0.0001,0.0002,0.02,0,0
もも缶汁,0.81,0.003,0.001,0.198,0.02,0.002,0,0.0001,0.0001,0.02,0,0
モモ缶汁,0.81,0.003,0.001,0.198,0.02,0.002,0,0.0001,0.0001,0.02,0,0
ネクタリン,0.43,0.007,0.003,0.107,0.05,0.002,0.014,0.0002,0.0003,0.1,0,0
やまもも,0.44,0.005,0.002,0.113,0.04,0.004,0.003,0.0004,0.0003,0.04,0,0
ヤマモモ,0.44,0.005,0.002,0.113,0.04,0.004,0.003,0.0004,0.0003,0.04,0,0
ゆず果皮,0.59,0.012,0.005,0.142,0.41,0.003,0.034,0.0007,0.001,1.5,0,0
ゆず果汁 ,0.21,0.005,0.001,0.07,0.2,0.001,0.002,0.0005,0.0002,0.4,0,0
ゆず,0.21,0.005,0.001,0.07,0.2,0.001,0.002,0.0005,0.0002,0.4,0,0
ユズ,0.21,0.005,0.001,0.07,0.2,0.001,0.002,0.0005,0.0002,0.4,0,0
ライチー,0.63,0.01,0.001,0.164,0.02,0.002,0.001,0.0002,0.0006,0.36,0,0
ライム,0.27,0.004,0.001,0.093,0.16,0.002,0.002,0.0003,0.0002,0.33,0,0
ラズベリー,0.41,0.011,0.001,0.102,0.22,0.007,0.01,0.0002,0.0004,0.22,0,0
りんご,0.54,0.002,0.001,0.146,0.03,0,0.002,0.0002,0.0001,0.04,0,0
リンゴ,0.54,0.002,0.001,0.146,0.03,0,0.002,0.0002,0.0001,0.04,0,0
りんごストレートジュース,0.44,0.002,0.001,0.118,0.02,0.004,0.001,0.0001,0.0001,0.03,0,0
リンゴジュース,0.43,0.001,0.002,0.114,0.03,0.001,0.001,0,0,0.01,0,0
りんご濃縮還元ジュース,0.43,0.001,0.002,0.114,0.03,0.001,0.001,0,0,0.01,0,0
りんご50%果汁入り飲料,0.46,0.001,0,0.115,0.02,0.001,0,0,0,0,0,0
りんご30%果汁入り飲料,0.46,0,0,0.114,0.02,0,0,0,0,0,0,0
りんご缶,0.83,0.003,0.001,0.201,0.04,0.002,0.001,0.0001,0.0001,0,0,0
リンゴ缶,0.83,0.003,0.001,0.201,0.04,0.002,0.001,0.0001,0.0001,0,0,0
りんごジャム,2.13,0.002,0.001,0.527,0.06,0,0.001,0.0001,0,0,0,0
リンゴジャム,2.13,0.002,0.001,0.527,0.06,0,0.001,0.0001,0,0,0,0
レモン,0.54,0.009,0.007,0.125,0.67,0.002,0.016,0.0007,0.0007,1,0,0
レモン汁,0.26,0.004,0.002,0.086,0.07,0.001,0.001,0.0004,0.0002,0.5,0,0
えのきたけ,0.22,0.027,0.002,0.076,0,0.011,0,0.0024,0.0017,0.01,0,0
えのき,0.22,0.027,0.002,0.076,0,0.011,0,0.0024,0.0017,0.01,0,0
えのきたけ味付け瓶詰,0.42,0.036,0.003,0.169,0.1,0.008,0,0.0026,0.0017,0,0,0.043
なめたけ,0.42,0.036,0.003,0.169,0.1,0.008,0,0.0026,0.0017,0,0,0.043
きくらげ,1.67,0.079,0.021,0.711,3.1,0.352,0,0.0019,0.0087,0.05,0,0.001
しいたけ,0.18,0.03,0.004,0.049,0.03,0.003,0,0.001,0.0019,0.1,0,0
干しいたけ,1.82,0.193,0.037,0.634,0.1,0.017,0,0.005,0.014,0,0,0
しめじ,0.18,0.027,0.006,0.05,0.01,0.004,0,0.0016,0.0016,0.07,0,0
ほんしめじ,0.14,0.021,0.003,0.044,0.02,0.011,0,0.0008,0.005,0,0,0
たもぎたけ,0.16,0.036,0.003,0.037,0.02,0.008,0,0.0017,0.0033,0,0,0
なめこ,0.14,0.016,0.001,0.051,0.04,0.006,0,0.0006,0.0011,0,0,0
なめこ缶,0.09,0.01,0.001,0.032,0.03,0.008,0,0.0003,0.0007,0,0,0
ぬめりすぎたけ,0.15,0.023,0.004,0.041,0.01,0.006,0,0.0016,0.0034,0.01,0,0
ひらたけ,0.23,0.061,0.002,0.048,0.02,0.006,0,0.003,0.0041,0,0,0
エリンギ,0.24,0.036,0.005,0.074,0.01,0.003,0,0.0014,0.0028,0,0,0
まいたけ,0.16,0.037,0.007,0.027,0.01,0.005,0,0.0025,0.0049,0,0,0
マッシュルーム,0.11,0.029,0.003,0.021,0.03,0.003,0,0.0006,0.0029,0.01,0,0
マッシュルーム缶,0.14,0.034,0.002,0.033,0.08,0.008,0,0.0003,0.0024,0,0,0.009
まつたけ,0.23,0.02,0.006,0.082,0.06,0.013,0,0.001,0.001,0.02,0,0
まつたけ缶,0.15,0.012,0.002,0.056,0.04,0.033,0,0.0004,0.003,0,0,0.003
あおのり,1.5,0.181,0.003,0.56,7.2,0.748,0.024,0.0089,0.0161,0.4,0.01,0.086
焼きのり,1.88,0.414,0.037,0.443,2.8,0.114,0.046,0.0069,0.0233,2.1,0.22,0.013
のり,1.88,0.414,0.037,0.443,2.8,0.114,0.046,0.0069,0.0233,2.1,0.22,0.013
あじつけのり,1.79,0.4,0.035,0.418,1.7,0.082,0.037,0.0061,0.0231,2,0.21,0.043
味付けのり,1.79,0.4,0.035,0.418,1.7,0.082,0.037,0.0061,0.0231,2,0.21,0.043
いわのり,1.51,0.348,0.007,0.391,0.86,0.483,0.042,0.0057,0.0207,0.03,0.3,0.053
だしこんぶ ,1.38,0.08,0.02,0.565,7.6,0.024,0.01,0.008,0.0035,0.15,0,0.069
刻み昆布,1.05,0.054,0.005,0.46,9.4,0.086,0.003,0.0015,0.0033,0,0,0.109
削り昆布,1.17,0.065,0.009,0.502,6.5,0.036,0.008,0.0033,0.0028,0.19,0,0.053
塩昆布,1.1,0.169,0.004,0.37,2.8,0.042,0.004,0.0004,0.0023,0,0,0.18
こんぶつくだ煮,0.84,0.06,0.01,0.339,1.5,0.013,0.001,0.0005,0.0005,0,0,0.074
ところてん,0.02,0.002,0,0.006,0.04,0.001,0,0,0,0,0,0
寒天,0.03,0,0,0.015,0.1,0.002,0,0,0,0,0,0
赤とさか,0.14,0.015,0.001,0.051,0.7,0.012,0,0,0.0004,0,0.09,0.007
青とさか,0.13,0.009,0.002,0.049,1.6,0.008,0,0,0.0002,0,0.09,0.008
ひじき,1.39,0.106,0.013,0.562,14,0.55,0.011,0.0036,0.011,0,0.01,0.036
のりつくだ煮,0.77,0.144,0.013,0.211,0.28,0.036,0.001,0.0006,0.0026,0,0.01,0.058
のりつく,0.77,0.144,0.013,0.211,0.28,0.036,0.001,0.0006,0.0026,0,0.01,0.058
減塩のりつく,1.3,0.042,0.004,0.314,0.35,0.036,0.001,0.0006,0.0026,0,0.01,0.048
もずく,0.04,0.002,0.001,0.014,0.22,0.007,0.001,0,0.0001,0,0,0.002
生わかめ,0.16,0.019,0.002,0.056,1,0.007,0.001,0.0007,0.0018,0.15,0,0.015
カットわかめ,1.38,0.18,0.04,0.418,8.2,0.061,0.003,0.0005,0.0007,0,0,0.241
カットワカメ,1.38,0.18,0.04,0.418,8.2,0.061,0.003,0.0005,0.0007,0,0,0.241
めかぶわかめ,0.11,0.009,0.006,0.034,0.77,0.003,0.001,0.0002,0.0003,0.02,0,0.004
あいなめ,1.13,0.191,0.034,0.001,0.55,0.004,0.017,0.0024,0.0026,0.02,0.76,0.004
あこうだい,0.93,0.168,0.023,0.001,0.15,0.003,0.034,0.0011,0.0004,0,0.56,0.002
まあじ,1.21,0.207,0.035,0.001,0.27,0.007,0.004,0.001,0.002,0,0.77,0.003
あじ,1.21,0.207,0.035,0.001,0.27,0.007,0.004,0.001,0.002,0,0.77,0.003
あじ開き,1.68,0.202,0.088,0.001,0.36,0.008,0.007,0.001,0.0015,0,0.73,0.017
むろあじ,1.66,0.236,0.069,0.004,0.19,0.016,0.006,0.0018,0.0032,0,0.64,0.001
むろあじ開き,1.55,0.229,0.062,0.001,0.43,0.014,0.004,0.0017,0.003,0,0.66,0.021
くさや,2.4,0.499,0.03,0.003,8.9,0.032,0.012,0.0024,0.004,0,1.1,0.041
あなご,1.94,0.176,0.127,0,0.64,0.009,0.029,0.0004,0.0011,0.01,1.8,0.003
あまご,1.12,0.183,0.036,0.001,0.27,0.004,0.015,0.0015,0.0016,0.01,0.66,0.001
あまだい,1.13,0.188,0.036,0,0.58,0.003,0.013,0.0004,0.0006,0.01,0.52,0.002
あゆ,1.52,0.178,0.079,0.006,2.5,0.008,0.051,0.0015,0.0014,0.02,1.1,0.001
うるか,1.71,0.114,0.131,0.018,0.16,0.04,0.068,0.0006,0.0038,0,2.6,0.13
あんこう,0.58,0.13,0.002,0.003,0.08,0.002,0.007,0.0004,0.0016,0.01,0.78,0.003
あんこうきも,4.45,0.1,0.419,0.022,0.06,0.012,0.138,0.0014,0.0035,0.01,5.6,0.003
いさき,1.27,0.172,0.057,0.001,0.22,0.004,0.009,0.0006,0.0012,0,0.71,0.004
いしだい,1.56,0.195,0.078,0,0.2,0.003,0.021,0.0015,0.0015,0,0.56,0.001
いとよりだい,0.93,0.181,0.017,0.001,0.46,0.005,0.006,0.0004,0.0008,0.02,0.7,0.002
いぼだい,1.49,0.164,0.085,0,0.41,0.005,0.007,0.0004,0.0019,0.01,0.57,0.005
うるめいわし,2.39,0.45,0.051,0.003,5.7,0.045,0.001,0.0025,0.0043,0,2.2,0.058
いわし,2.17,0.198,0.139,0.007,0.7,0.018,0.007,0.0003,0.0036,0,0.65,0.003
いわし丸干し,1.93,0.328,0.055,0.007,4.4,0.044,0.007,0.0001,0.0041,0,1.1,0.038
めざし,2.57,0.182,0.189,0.005,1.8,0.026,0.003,0.0001,0.0021,0,1,0.028
しらす干し,1.13,0.231,0.016,0.002,2.1,0.006,0.01,0.0011,0.0003,0,2.4,0.041
たたみいわし,3.72,0.751,0.056,0.007,9.7,0.026,0.027,0.0015,0.0033,0,7.1,0.022
いわしみりん干し,3.32,0.314,0.157,0.163,2.4,0.043,0.01,0,0.005,0,0.76,0.017
いわしかば焼缶,2.42,0.162,0.156,0.093,2.2,0.02,0.018,0.0001,0.0024,0,0.7,0.015
いわな,1.14,0.19,0.036,0.001,0.39,0.003,0.016,0.0009,0.0012,0.01,0.8,0.001
うぐい,1,0.201,0.015,0.002,0.69,0.007,0.008,0.0003,0.0011,0,0.93,0.002
うなぎ,2.55,0.171,0.193,0.003,1.3,0.005,0.074,0.0037,0.0048,0.02,2.3,0.002
うなぎきも,1.18,0.13,0.053,0.035,0.19,0.046,0.039,0.003,0.0075,0.02,4.3,0.004
うなぎ白焼き,3.31,0.207,0.258,0.001,1.4,0.01,0.053,0.0055,0.0045,0,2.2,0.003
うなぎかば焼,2.93,0.23,0.21,0.031,1.5,0.008,0.049,0.0075,0.0074,0,2.3,0.013
うまづらはぎ,0.8,0.182,0.003,0,0.5,0.004,0.011,0.0001,0.0013,0,0.47,0.005
えい,0.84,0.191,0.003,0.001,0.04,0.009,0.007,0.0005,0.0012,0.01,0.8,0.007
えそ,0.93,0.201,0.008,0.001,0.8,0.003,0.001,0.0007,0.001,0.02,0.74,0.003
おいかわ,1.36,0.192,0.058,0.001,0.45,0.006,0.009,0.0001,0.0016,0.02,0.91,0.001
おおさが,1.44,0.163,0.08,0.001,0.16,0.002,0.049,0.0001,0.0003,0.01,0.55,0.002
おこぜ,0.85,0.196,0.002,0.002,0.31,0.004,0.004,0.0001,0.0012,0,0.75,0.002
おひょう,1,0.199,0.017,0.001,0.07,0.001,0.008,0.0009,0.0007,0,0.49,0.002
かさご,0.85,0.193,0.003,0.001,0.57,0.003,0.003,0.0003,0.0006,0.01,0.45,0.003
かじか,1.11,0.15,0.05,0.002,5.2,0.028,0.013,0.0007,0.0038,0.01,2.2,0.003
かじき,1.41,0.183,0.067,0.001,0.03,0.005,0.033,0.0005,0.0008,0.01,0.71,0.002
かつお,1.14,0.258,0.005,0.001,0.11,0.019,0.003,0.0013,0.0017,0,0.6,0.001
なまり節,1.73,0.38,0.011,0.005,0.2,0.05,0.004,0.004,0.0025,0,0.95,0.002
かつお節,3.56,0.771,0.029,0.008,0.28,0.055,0.013,0.0055,0.0035,0,1.8,0.003
削り節,3.51,0.757,0.032,0.004,0.46,0.09,0.011,0.0038,0.0057,0,1.9,0.012
削り節つくだ煮,2.37,0.195,0.033,0.323,0.54,0.08,0.006,0.0013,0.001,0,0.57,0.079
かます,1.48,0.189,0.072,0.001,0.41,0.003,0.009,0.0003,0.0014,0,0.58,0.003
かれい,0.95,0.196,0.013,0.001,0.43,0.002,0.015,0.0003,0.0035,0.01,0.71,0.003
かわはぎ,0.8,0.188,0.001,0,0.13,0.002,0.006,0.0002,0.0007,0,0.47,0.003
かんぱち,1.29,0.21,0.042,0.001,0.15,0.006,0.009,0.0015,0.0016,0,0.62,0.002
きす,0.85,0.192,0.004,0.001,0.38,0.002,0.005,0.0007,0.0004,0.02,1,0.003
きびなご,0.93,0.188,0.014,0.001,1,0.011,0.003,0.0002,0.0025,0.03,0.75,0.004
キャビア,2.63,0.262,0.171,0.011,0.08,0.024,0.093,0.0001,0.0131,0.04,5,0.041
キングクリップ,0.78,0.182,0.001,0,0.47,0.003,0.002,0.0003,0.0007,0.01,0.56,0.004
ぎんだら,2.2,0.13,0.175,0,0.14,0.003,0.03,0.0005,0.001,0,0.45,0.002
きんめだい,1.6,0.178,0.09,0.001,0.31,0.003,0.017,0.0003,0.0005,0.01,0.6,0.001
ぐち,0.83,0.18,0.008,0,0.37,0.004,0.005,0.0004,0.0028,0,0.66,0.002
こい,1.71,0.177,0.102,0.002,0.09,0.005,0.02,0.0046,0.0018,0,0.86,0.001
鮭,1.54,0.217,0.066,0.001,0.13,0.004,0.007,0.0025,0.0018,0.01,0.58,0.002
さけ,1.54,0.217,0.066,0.001,0.13,0.004,0.007,0.0025,0.0018,0.01,0.58,0.002
鮭水煮缶,1.56,0.207,0.072,0.001,1.1,0.015,0.007,0.0015,0.0013,0,0.89,0.009
塩鮭,1.99,0.224,0.111,0.001,0.16,0.003,0.004,0.0014,0.0015,0.01,0.64,0.018
イクラ,2.72,0.326,0.156,0.002,0.94,0.02,0.091,0.0042,0.0055,0.06,4.8,0.023
すじこ,2.82,0.305,0.174,0.009,0.62,0.027,0.106,0.0042,0.0061,0.09,5.1,0.048
にじます ,1.27,0.197,0.046,0.001,0.24,0.002,0.012,0.0021,0.001,0.02,0.72,0.001
さば,2.02,0.207,0.121,0.003,0.09,0.011,0.009,0.0015,0.0028,0,0.64,0.004
さば節,3.6,0.739,0.051,0,8.6,0.072,0.009,0.0025,0.0085,0,3,0.009
塩さば,2.91,0.262,0.191,0.001,0.27,0.02,0.005,0.0016,0.0059,0,0.59,0.018
さば開き,3.48,0.187,0.285,0.002,0.25,0.02,0.024,0.0013,0.0059,0,0.65,0.017
しめさば,3.39,0.186,0.269,0.017,0.09,0.011,0.005,0.0013,0.0028,0,0.65,0.016
さば缶,1.9,0.209,0.107,0.002,2.6,0.016,0.032,0.0015,0.004,0,0.84,0.009
さばみそ煮缶,2.17,0.163,0.139,0.066,2.1,0.02,0.019,0.0004,0.0037,0,0.7,0.011
ふかひれ,3.42,0.839,0.016,0,0.65,0.012,0.004,0,0,0,2.5,0.005
さより,0.95,0.196,0.013,0,0.41,0.003,0.009,0,0.0012,0.02,1,0.005
さわら,1.77,0.201,0.097,0.001,0.13,0.008,0.003,0.0009,0.0035,0,0.6,0.002
さんま,3.1,0.185,0.246,0.001,0.32,0.014,0.013,0.0001,0.0026,0,0.66,0.003
さんま開き,2.61,0.193,0.19,0.001,0.6,0.011,0.015,0,0.003,0,0.8,0.013
さんまかば焼缶,2.68,0.189,0.189,0.056,2.8,0.019,0.028,0,0.002,0,0.98,0.014
しいら,1.08,0.213,0.019,0,0.13,0.007,0.005,0.002,0.0015,0.01,0.55,0.001
ししゃも,1.77,0.156,0.116,0.005,3.5,0.014,0.016,0,0.0031,0.01,2.9,0.015
したびらめ　生  ,0.96,0.192,0.016,0,0.36,0.003,0.006,0.0006,0.0014,0.01,0.75,0.004
しまあじ,1.68,0.219,0.08,0.001,0.16,0.007,0.016,0.0025,0.0015,0,0.71,0.001
しらうお,0.77,0.136,0.02,0.001,1.5,0.004,0.018,0.0008,0.001,0.04,2.2,0.004
シルバー,1.53,0.186,0.079,0,0.11,0.006,0.031,0.0008,0.0018,0,0.46,0.002
すずき,1.23,0.198,0.042,0,0.12,0.002,0.012,0.0002,0.002,0.03,0.67,0.002
たい,1.94,0.217,0.108,0.001,0.11,0.002,0.024,0.0034,0.0009,0.02,0.72,0.001
たかさご,1,0.202,0.015,0.001,0.51,0.005,0.001,0.0003,0.0007,0,0.5,0.001
たかべ,1.64,0.187,0.09,0,0.41,0.006,0.014,0.0006,0.0018,0.01,0.7,0.003
たちうお,2.66,0.165,0.209,0,0.12,0.002,0.012,0.0001,0.0007,0.01,0.72,0.002
すけとうだら,0.79,0.181,0.002,0.001,0.41,0.004,0.005,0.0007,0.0014,0,0.74,0.003
たらこ,1.7,0.283,0.061,0.005,0.27,0.007,0.081,0.0077,0.0053,0.21,4.1,0.053
からしめんたいこ,1.26,0.21,0.033,0.03,0.23,0.007,0.065,0.0034,0.0033,0.76,2.8,0.056
まだら,0.77,0.176,0.002,0.001,0.32,0.002,0.008,0.001,0.001,0,0.58,0.003
たらしらこ,0.62,0.134,0.008,0.002,0.06,0.002,0.018,0.0024,0.0013,0.02,3.6,0.003
塩だら,0.65,0.152,0.001,0,0.23,0.003,0.007,0.0013,0.002,0,0.6,0.02
桜でんぶ,2.78,0.255,0.011,0.415,2.6,0.013,0.008,0.0004,0.0008,0,1.3,0.041
テラピア,1.34,0.198,0.053,0.002,0.29,0.005,0.02,0.0004,0.002,0.01,0.59,0.002
どじょう,0.79,0.161,0.012,0,11,0.056,0.006,0.0009,0.0109,0.01,2.1,0.002
とびうお,0.96,0.21,0.007,0.001,0.13,0.005,0.023,0.0001,0.001,0.01,0.59,0.002
なまず,1.59,0.184,0.086,0,0.18,0.004,0.063,0.0033,0.001,0,0.73,0.001
にしん,2.16,0.174,0.151,0.001,0.27,0.01,0.031,0.0001,0.0023,0,0.68,0.003
身欠きにしん,2.46,0.209,0.167,0.002,0.66,0.015,0.027,0.0001,0.0003,0,2.3,0.004
かずのこ,0.89,0.15,0.03,0.006,0.08,0.004,0.009,0,0.0001,0,2.3,0.012
はぜ,0.83,0.191,0.002,0.001,0.42,0.002,0.01,0.0004,0.0004,0.01,0.92,0.002
はぜつくだ煮,2.84,0.243,0.03,0.399,12,0.124,0.024,0.0011,0.0041,0,2.7,0.056
はぜ甘露煮,2.65,0.211,0.022,0.403,9.8,0.042,0.006,0.0005,0.0011,0,2.1,0.038
はたはた,1.13,0.141,0.057,0,0.6,0.005,0.022,0.0002,0.0014,0,1,0.005
はも,1.44,0.223,0.053,0,0.79,0.002,0.011,0.0004,0.0018,0.01,0.75,0.002
バラクータ,1.2,0.217,0.03,0.001,0.22,0.006,0.019,0.0006,0.002,0.01,0.63,0.003
ひらまさ,1.42,0.226,0.049,0.001,0.12,0.004,0.014,0.002,0.0014,0.03,0.68,0.001
ひらめ,1.24,0.212,0.037,0,0.23,0.001,0.014,0.0008,0.0033,0.03,0.63,0.001
ふぐ,0.85,0.193,0.003,0.002,0.06,0.002,0.008,0.0006,0.0021,0,0.65,0.003
ふな,1.01,0.182,0.025,0.001,1,0.015,0.015,0.0055,0.0014,0.01,0.64,0.001
ぶり,2.57,0.214,0.176,0.003,0.05,0.013,0.02,0.0023,0.0036,0.02,0.72,0.001
はまち,2.56,0.197,0.182,0.003,0.12,0.009,0.041,0.0016,0.0019,0.02,0.72,0.001
ほうぼう,1.22,0.196,0.042,0,0.42,0.004,0.005,0.0009,0.0015,0.03,0.55,0.003
ホキ,0.84,0.17,0.013,0,0.2,0.003,0.009,0.0003,0.0016,0,0.49,0.004
ほっけ,1.15,0.173,0.044,0.001,0.22,0.004,0.017,0.0009,0.0017,0.01,0.73,0.002
塩ほっけ,1.23,0.181,0.049,0.001,0.2,0.005,0.007,0.001,0.0027,0,0.6,0.036
ほっけ開き,1.42,0.182,0.069,0.001,1.6,0.005,0.011,0.0009,0.0023,0.02,0.82,0.017
ぼら,1.28,0.192,0.05,0.001,0.17,0.007,0.016,0.0016,0.0026,0.01,0.65,0.002
からすみ,4.23,0.404,0.289,0.003,0.09,0.015,0.097,0.0001,0.0093,0.1,8.6,0.036
まぐろ,1.06,0.243,0.004,0,0.05,0.02,0.004,0.0015,0.0009,0,0.37,0.001
まぐろ赤身,1.25,0.264,0.014,0.001,0.05,0.011,0.008,0.001,0.0005,0.02,0.5,0.001
まぐろ脂身,3.44,0.201,0.275,0.001,0.07,0.016,0.015,0.0004,0.0007,0.04,0.55,0.002
めじまぐろ,1.52,0.252,0.048,0.001,0.09,0.018,0.012,0.0019,0.0019,0.01,0.58,0.001
まぐろ味付缶,1.36,0.19,0.023,0.099,0.24,0.04,0.007,0.0007,0.0003,0,0.58,0.019
ツナ,2.67,0.177,0.217,0.001,0.04,0.005,0.047,0.0001,0.0003,0,0.32,0.009
まながつお,1.75,0.171,0.109,0,0.21,0.003,0.014,0.0022,0.0013,0.01,0.7,0.004
むつ,1.89,0.167,0.126,0,0.25,0.005,0.009,0.0003,0.0016,0,0.59,0.002
めじな,1.25,0.194,0.045,0.001,0.27,0.003,0.008,0.0005,0.0038,0,0.56,0.002
めばる,1.09,0.181,0.035,0,0.8,0.004,0.015,0.0007,0.0017,0.02,0.75,0.002
メルルーサ,0.77,0.17,0.006,0,0.12,0.002,0.013,0.0009,0.0004,0,0.45,0.004
やまめ,1.19,0.184,0.043,0.003,0.85,0.005,0.022,0.0015,0.0016,0.03,0.65,0.001
わかさぎ,0.77,0.144,0.017,0.001,4.5,0.008,0.007,0.0001,0.0014,0.01,2.1,0.005
あかがい,0.74,0.135,0.003,0.035,0.4,0.05,0.009,0.002,0.002,0.02,0.46,0.008
あさり,0.3,0.06,0.003,0.004,0.66,0.038,0.004,0.0002,0.0016,0.01,0.4,0.022
